INFO 2025-02-24 23:26:17,732 [Thread: 396] [payments_util - save_account_delete_tx_response:133] Saving payment response data in table
INFO 2025-02-24 23:26:17,749 [Thread: 396] [payments_db_operations - save_payment_data:36] Created new transaction for sender rMXxLRrm5jmFm64zbmsAzFDL4cd3FQR7v with hash A0FE9CCE62D4955BA5CF1A597BDB5BE843F99B5B81F026B26AB915C7ADD2BB0A
INFO 2025-02-24 23:26:17,802 [Thread: 396] [payments_util - save_account_delete_tx_response:138] Saving delete response data in table
INFO 2025-02-24 23:26:17,811 [Thread: 396] [payments_db_operations - save_payment_data:36] Created new transaction for sender rMXxLRrm5jmFm64zbmsAzFDL4cd3FQR7v with hash EA85D5F26E231842EA90D0129FBFA88FB9749DCC6445F51AD0BD395AA7BC158C
INFO 2025-02-24 23:26:17,994 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:154] Leaving: send_xrp_payment_and_delete_account. Total execution time in ms: 13400
INFO 2025-02-24 23:53:02,113 [Thread: 20796] [trust_line - get_account_trust_lines:39] Entering: get_account_trust_lines
INFO 2025-02-24 23:53:02,114 [Thread: 20796] [utilities - validate_xrp_wallet:65] Classic Address: rENh1oGGTxs6Kgn5SGFmbjY8nUBCRnUpnk
INFO 2025-02-24 23:53:03,684 [Thread: 20796] [trust_line - get_account_trust_lines:95] Account Lines fetched for address: rENh1oGGTxs6Kgn5SGFmbjY8nUBCRnUpnk
INFO 2025-02-24 23:53:03,684 [Thread: 20796] [trust_line - get_account_trust_lines:107] Leaving: get_account_trust_lines. Total execution time in ms: 1571
INFO 2025-02-25 00:02:15,719 [Thread: 20420] [trust_line - get_account_trust_lines:39] Entering: get_account_trust_lines
INFO 2025-02-25 00:02:15,719 [Thread: 20420] [utilities - validate_xrp_wallet:65] Classic Address: rENh1oGGTxs6Kgn5SGFmbjY8nUBCRnUpnk
INFO 2025-02-25 00:02:16,983 [Thread: 20420] [trust_line - get_account_trust_lines:95] Account Lines fetched for address: rENh1oGGTxs6Kgn5SGFmbjY8nUBCRnUpnk
INFO 2025-02-25 00:02:16,984 [Thread: 20420] [trust_line - get_account_trust_lines:107] Leaving: get_account_trust_lines. Total execution time in ms: 1264
INFO 2025-02-25 00:13:20,558 [Thread: 5488] [account_offers - get_account_offers:61] Entering: get_account_offers
INFO 2025-02-25 00:13:20,559 [Thread: 5488] [utilities - validate_xrp_wallet:65] Classic Address: rJtwFcaWJKTXpyv7FEBxJzd6hBzmjGhKKR
INFO 2025-02-25 00:13:21,577 [Thread: 5488] [account_offers - get_account_offers:94] Found 1 offers for wallet rJtwFcaWJKTXpyv7FEBxJzd6hBzmjGhKKR.
INFO 2025-02-25 00:13:21,579 [Thread: 5488] [account_offers - get_account_offers:127] Leaving: get_account_offers. Total execution time in ms: 1021
INFO 2025-02-25 00:17:39,178 [Thread: 1080] [account_offers - get_account_offers:61] Entering: get_account_offers
INFO 2025-02-25 00:17:39,179 [Thread: 1080] [utilities - validate_xrp_wallet:65] Classic Address: rJtwFcaWJKTXpyv7FEBxJzd6hBzmjGhKKR
